"date","H1","ph1","H10","ph10"
1986-07-22,8189.04343593969,"1",8327.55319735305,"1"
1986-07-23,8289.57406494229,"1",8632.34751961528,"1"
1986-07-24,8686.22822138696,"1",9193.88572006592,"1"
1986-07-25,9119.26821105347,"1",9535.68387016554,"1"
1986-07-28,9529.3542493766,"1",9822.38118866277,"1"
1986-07-29,9884.81429953386,"1",10309.3780999378,"1"
1986-07-30,10333.6007754757,"1",10810.5203060032,"1"
1986-07-31,10768.5960335613,"1",11318.1288754714,"1"
1986-08-01,11152.6704762146,"1",11716.7499198092,"1"
1986-08-04,11772.6703714729,"1",12244.0583017568,"1"
1986-08-05,12337.0609248778,"1",12546.0221501333,"1"
1986-08-06,12571.7442292927,"1",12812.2932540798,"1"
1986-08-07,12764.2702738996,"1",12805.2239236975,"1"
1986-08-08,12748.9773775418,"1",12880.1716427519,"1"
1986-08-11,12788.3547614232,"1",12983.7751714909,"1"
1986-08-12,12849.1609065165,"1",12931.4411617005,"1"
1986-08-13,12860.3188748286,"1",12510.7132416642,"1"
1986-08-14,12339.8228610187,"1",10877.4904559644,"1"
1986-08-15,10638.8370433398,"1",9993.31094855241,"1"
1986-08-18,9808.62145778197,"1",9629.85108633366,"1"
1986-08-19,9566.72068346042,"1",9640.88320552015,"1"
1986-08-20,9645.34410788008,"1",8519.61548777746,"1"
1986-08-21,8386.56385907206,"1",7490.31078661233,"1"
1986-08-22,7349.31962054383,"1",7145.65379931772,"1"
1986-08-25,7099.38341046485,"1",7380.57744021654,"1"
1986-08-26,7501.52474603883,"1",7952.89513800343,"1"
1986-08-27,8006.35775923175,"1",7608.99639104445,"1"
1986-08-28,7561.1078600132,"1",7215.77086303145,"1"
1986-08-29,7124.12124157662,"1",6390.97763161503,"1"
1986-09-02,6352.15327136317,"1",6168.98376552565,"1"
1986-09-03,6139.8295489822,"1",5872.77101960959,"1"
1986-09-04,5786.88753844374,"1",5822.43556786637,"1"
1986-09-05,5805.22290410035,"1",6240.67020362709,"1"
1986-09-08,6185.36792041314,"1",6755.95517329544,"1"
1986-09-09,6883.36384853145,"1",6713.77763642693,"1"
1986-09-10,6745.29753283743,"1",6014.98063523009,"1"
1986-09-11,5859.6229707788,"1",5195.94936383773,"1"
1986-09-12,5059.35397830936,"1",5144.45179172906,"1"
1986-09-15,5151.30254518436,"1",5658.81396024538,"1"
1986-09-16,5653.3056194314,"1",6421.5787993903,"1"
1986-09-17,6629.86449775692,"1",7481.3743310542,"1"
1986-09-18,7574.18236589252,"1",8003.04380041519,"1"
1986-09-19,8088.86602875715,"1",8612.4219355381,"1"
1986-09-22,8580.81571506763,"1",9239.75840005053,"1"
1986-09-23,9251.7722814096,"1",7848.56111202484,"1"
1986-09-24,7829.09409853796,"1",6524.31825662243,"1"
1986-09-25,6416.57154270246,"1",5217.90008336316,"1"
1986-09-26,5124.64800159554,"1",4090.77018293479,"1"
1986-09-29,4230.49639177403,"1",3556.5006748428,"1"
1986-09-30,3554.82109684101,"1",2754.00120582258,"1"
1986-10-01,2864.54594624552,"1",2200.32483495266,"1"
1986-10-02,2342.89774364596,"1",2013.87776803651,"1"
1986-10-03,1861.77638268241,"1",1809.01271090341,"1"
1986-10-06,1892.3162621491,"1",1563.57904483987,"1"
1986-10-07,1643.37159790718,"1",1332.77793387457,"1"
1986-10-08,1268.43080448126,"1",996.297973953387,"1"
1986-10-09,931.610952457025,"1",760.983768862206,"1"
1986-10-10,853.694320938973,"1",722.730168173325,"1"
1986-10-14,700.698898722885,"1",806.858799654105,"1"
1986-10-15,805.488997228976,"1",791.489626773964,"1"
1986-10-16,844.944200339082,"1",733.441524395204,"1"
1986-10-17,748.968251829792,"1",619.240987722054,"1"
1986-10-20,594.964038816623,"1",515.430889862402,"1"
